,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,0.000,-0.488,0.000,-0.488,0.000,1711992593.709
1,0.000,-0.488,0.000,-0.488,0.000,1711992593.713
2,-32.227,30.762,-32.227,30.762,0.000,1711992593.717
3,62.012,-68.359,70.312,-68.359,0.000,1711992593.721
4,-363.770,383.789,-396.484,383.789,0.000,1711992593.725
5,-1000.000,999.512,-1000.000,999.512,0.000,1711992593.728
6,-1000.000,960.449,-992.188,959.961,0.000,1711992593.732
7,404.297,954.590,-1000.000,954.590,0.000,1711992593.736
8,313.965,971.680,-930.664,971.680,0.000,1711992593.740
9,-1000.000,968.750,-1000.000,968.262,0.000,1711992593.744
10,-1000.000,979.004,-528.320,968.262,0.000,1711992593.748
11,117.676,895.508,893.066,968.262,0.000,1711992593.752
12,768.555,999.512,999.512,968.262,0.000,1711992593.754
13,-770.508,391.602,916.504,968.262,0.000,1711992593.758
14,-1000.000,-990.234,982.422,968.262,0.000,1711992593.762
15,-193.848,-1000.000,968.262,968.262,0.000,1711992593.766
16,999.512,-956.543,968.262,968.262,0.000,1711992593.769
17,62.012,-1000.000,968.262,968.262,0.000,1711992593.773
18,-1000.000,-1000.000,968.262,968.262,0.000,1711992593.777
19,-250.000,-1000.000,968.262,968.262,0.000,1711992593.781
20,999.512,-1000.000,968.262,968.262,0.000,1711992593.784
21,269.531,-1000.000,968.262,968.262,0.000,1711992593.788
22,-1000.000,-1000.000,968.262,968.262,0.000,1711992593.792
23,-531.738,-1000.000,968.262,968.262,0.000,1711992593.796
24,999.512,-1000.000,968.262,968.262,0.000,1711992593.797
25,774.902,-1000.000,968.262,968.262,0.000,1711992593.800
26,-820.312,-1000.000,968.262,968.262,0.000,1711992593.804
27,-1000.000,-931.152,968.262,968.262,0.000,1711992593.808
28,481.445,-1000.000,968.262,968.262,0.000,1711992593.811
29,999.512,-16.602,968.262,968.262,0.000,1711992593.815
30,-92.285,344.727,968.262,968.262,0.000,1711992593.819
31,-1000.000,-905.273,981.934,968.262,0.000,1711992593.822
32,-51.270,499.512,907.715,968.262,0.000,1711992593.826
33,999.512,999.512,999.512,968.262,0.000,1711992593.830
34,208.008,891.113,807.129,968.262,0.000,1711992593.833
35,-1000.000,979.980,-790.527,968.262,0.000,1711992593.837
36,-271.973,968.750,-285.645,968.262,0.000,1711992593.837
37,999.512,904.785,999.512,968.262,0.000,1711992593.840
38,373.535,999.512,999.512,968.262,0.000,1711992593.844
