,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,-0.488,-0.488,0.000,-0.488,0.000,1713320975.698
1,-0.488,-0.488,0.000,5.371,0.000,1713320975.702
2,30.762,30.762,-32.227,5.371,0.000,1713320975.706
3,-68.359,-68.359,70.312,-87.891,0.000,1713320975.710
4,384.277,384.277,-396.484,454.102,0.000,1713320975.714
5,939.941,940.918,-1000.000,-85.449,0.000,1713320975.718
6,999.512,999.512,-992.188,-1000.000,0.000,1713320975.721
7,237.305,174.805,-986.328,-165.039,0.000,1713320975.725
8,-1000.000,-1000.000,-1000.000,999.512,0.000,1713320975.729
9,-268.555,-984.375,-1000.000,-315.430,0.000,1713320975.733
10,999.512,-971.680,-1000.000,-1000.000,0.000,1713320975.737
11,209.961,-946.777,-1000.000,-831.055,0.000,1713320975.741
12,-1000.000,-1000.000,-1000.000,689.941,0.000,1713320975.743
13,-8.789,-187.500,-1000.000,517.090,0.000,1713320975.747
14,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.751
15,919.922,947.266,-1000.000,-842.285,0.000,1713320975.755
16,955.566,943.359,-1000.000,758.789,0.000,1713320975.759
17,967.773,974.121,-1000.000,840.820,0.000,1713320975.762
18,972.656,968.750,-1000.000,-694.336,0.000,1713320975.766
19,961.426,968.262,-1000.000,-1000.000,0.000,1713320975.770
20,927.246,965.820,-1000.000,7.812,0.000,1713320975.774
21,961.914,968.262,-1000.000,999.512,0.000,1713320975.777
22,909.668,906.250,-1000.000,-59.570,0.000,1713320975.781
23,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.785
24,251.465,183.594,-1000.000,-719.238,0.000,1713320975.786
25,-1000.000,-1000.000,-1000.000,723.633,0.000,1713320975.790
26,-270.508,-983.398,-1000.000,-77.637,0.000,1713320975.793
27,999.512,-974.121,-1000.000,-1000.000,0.000,1713320975.797
28,275.879,-944.336,-1000.000,-955.566,0.000,1713320975.801
29,-1000.000,-1000.000,-1000.000,508.301,0.000,1713320975.804
30,-155.762,-219.727,-1000.000,627.930,0.000,1713320975.808
31,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.812
32,936.523,952.148,-1000.000,-986.816,0.000,1713320975.815
33,946.289,942.383,-1000.000,549.805,0.000,1713320975.819
34,963.867,966.797,-1000.000,978.027,0.000,1713320975.823
35,919.922,918.457,-1000.000,-494.629,0.000,1713320975.826
36,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.828
37,87.891,41.992,-1000.000,-48.828,0.000,1713320975.831
38,-1000.000,-1000.000,-1000.000,796.875,0.000,1713320975.835
39,-250.488,-966.309,-1000.000,-626.953,0.000,1713320975.838
40,999.512,-971.680,-1000.000,-1000.000,0.000,1713320975.842
41,187.012,-960.938,-1000.000,-552.246,0.000,1713320975.846
42,-1000.000,-1000.000,-1000.000,982.910,0.000,1713320975.849
43,188.477,-12.695,-1000.000,317.871,0.000,1713320975.853
44,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.856
45,901.855,924.805,-1000.000,-584.473,0.000,1713320975.860
46,976.074,964.844,-1000.000,999.512,0.000,1713320975.864
47,932.129,937.988,-1000.000,561.523,0.000,1713320975.867
48,971.680,965.820,-1000.000,-937.988,0.000,1713320975.867
49,989.258,999.512,-1000.000,-1000.000,0.000,1713320975.870
50,-300.293,-291.016,-1000.000,253.418,0.000,1713320975.874
51,-1000.000,-1000.000,-1000.000,504.395,0.000,1713320975.877
52,36.621,-947.754,-1000.000,-964.355,0.000,1713320975.881
53,999.512,-958.008,-1000.000,-1000.000,0.000,1713320975.884
54,-135.742,-1000.000,-1000.000,-294.922,0.000,1713320975.888
55,-872.070,-937.500,-1000.000,999.512,0.000,1713320975.891
56,729.492,427.246,-1000.000,240.723,0.000,1713320975.895
57,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.898
58,901.855,901.367,-1000.000,-293.945,0.000,1713320975.902
59,998.047,992.676,-1000.000,999.512,0.000,1713320975.905
60,896.973,899.902,-1000.000,276.367,0.000,1713320975.906
61,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.909
62,666.504,655.762,-1000.000,-854.492,0.000,1713320975.913
63,-885.254,-790.039,-1000.000,766.602,0.000,1713320975.916
64,-949.219,-1000.000,-1000.000,276.367,0.000,1713320975.919
65,634.766,-953.613,-1000.000,-1000.000,0.000,1713320975.923
66,999.512,-940.918,-1000.000,-1000.000,0.000,1713320975.926
67,-596.191,-1000.000,-1000.000,-219.727,0.000,1713320975.930
68,-529.785,-562.500,-1000.000,999.512,0.000,1713320975.933
69,999.512,881.348,-1000.000,-21.484,0.000,1713320975.937
70,979.004,999.512,-1000.000,-1000.000,0.000,1713320975.940
71,924.805,913.574,-1000.000,-227.539,0.000,1713320975.944
72,987.305,993.164,-1000.000,999.512,0.000,1713320975.947
73,898.438,896.484,-1000.000,242.188,0.000,1713320975.950
74,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.954
75,386.230,372.559,-1000.000,-447.266,0.000,1713320975.957
76,-1000.000,-998.047,-1000.000,999.512,0.000,1713320975.961
77,-606.934,-1000.000,-1000.000,180.176,0.000,1713320975.964
78,999.512,-962.402,-1000.000,-1000.000,0.000,1713320975.968
79,634.766,-945.312,-1000.000,-1000.000,0.000,1713320975.971
80,-1000.000,-1000.000,-1000.000,50.293,0.000,1713320975.975
81,-254.395,-284.180,-1000.000,995.117,0.000,1713320975.978
82,999.512,999.512,-1000.000,-508.789,0.000,1713320975.981
83,936.035,962.402,-1000.000,-1000.000,0.000,1713320975.985
84,940.918,936.523,-1000.000,37.598,0.000,1713320975.989
85,975.586,977.539,-1000.000,999.512,0.000,1713320975.992
86,905.273,905.762,-1000.000,12.695,0.000,1713320975.995
87,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.999
88,250.977,188.477,-1000.000,-227.051,0.000,1713320976.002
89,-1000.000,-1000.000,-1000.000,999.512,0.000,1713320976.006
90,-277.344,-984.375,-1000.000,-92.773,0.000,1713320976.009
91,999.512,-973.633,-1000.000,-1000.000,0.000,1713320976.013
92,291.504,-944.336,-1000.000,-959.961,0.000,1713320976.016
