,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,0.000,0.000,0.000,0.000,0.000,1711986887.546
1,0.000,0.000,0.000,0.000,0.000,1711986887.550
2,-35.156,-32.715,-40.527,-38.086,0.000,1711986887.554
3,84.961,74.219,107.422,95.703,0.000,1711986887.558
4,-357.422,-341.309,-411.621,-376.465,0.000,1711986887.561
5,-1000.000,-1000.000,-974.121,-1000.000,0.000,1711986887.565
6,-27.344,-190.430,316.406,121.094,0.000,1711986887.569
7,999.512,999.512,999.512,999.512,0.000,1711986887.573
8,158.203,237.793,-158.691,48.340,0.000,1711986887.577
9,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1711986887.581
10,-259.277,-333.008,-27.832,-235.840,0.000,1711986887.585
11,999.512,999.512,999.512,999.512,0.000,1711986887.588
12,241.211,376.465,282.715,234.375,0.000,1711986887.591
13,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1711986887.595
14,-490.723,-821.289,-426.758,-357.910,0.000,1711986887.599
15,999.512,790.039,999.512,999.512,0.000,1711986887.603
16,628.418,925.781,508.789,558.594,0.000,1711986887.606
17,-1000.000,-753.906,-971.191,-1000.000,0.000,1711986887.610
18,-851.074,100.586,-763.184,-724.609,0.000,1711986887.614
19,733.398,851.074,664.062,859.375,0.000,1711986887.618
20,999.512,-773.926,971.191,999.512,0.000,1711986887.621
21,-419.434,-1000.000,-347.656,-428.223,0.000,1711986887.625
22,-1000.000,13.184,-1000.000,-1000.000,0.000,1711986887.629
23,6.348,999.512,106.445,106.934,0.000,1711986887.633
24,999.512,76.172,999.512,999.512,0.000,1711986887.634
25,88.867,-1000.000,29.785,99.609,0.000,1711986887.637
26,-1000.000,-194.336,-1000.000,-1000.000,0.000,1711986887.641
27,-248.047,999.512,-303.223,-251.953,0.000,1711986887.645
28,999.512,268.066,999.512,999.512,0.000,1711986887.648
29,242.188,-1000.000,453.613,238.770,0.000,1711986887.652
30,-1000.000,-216.797,-1000.000,-1000.000,0.000,1711986887.656
31,-568.359,918.457,-561.035,-439.941,0.000,1711986887.659
32,999.512,46.387,941.895,999.512,0.000,1711986887.663
33,605.469,-1000.000,697.754,586.914,0.000,1711986887.666
34,-964.844,-902.832,-739.746,-998.535,0.000,1711986887.670
